Query,SearchTerm,Kingdom,Phylum,Class,Order,Family,Genus,Species,EOL,NCBI,Wikipedia,IUCN,GBIF,ITIS,
CORY TREE FROG,Cory tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla intermedia,,,https://en.wikipedia.org/wiki/Italian_tree_frog,NA,NA,,
SQUIRREL TREE FROG,Squirrel tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla squirella,NA,NA,https://en.wikipedia.org/wiki/Squirrel_tree_frog,NA,NA,,
GREY TREE FROG,Grey tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,NA,NA,https://en.wikipedia.org/wiki/Grey_tree_frog,NA,NA,,
TREE FROG,Tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,http://eol.org/api/hierarchy_entries/1.0.xml?id=52662668,NA,NA,NA,NA,,
GRAY TREE FROG,Gray tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,http://eol.org/api/hierarchy_entries/1.0.xml?id=52662668,NA,https://en.wikipedia.org/wiki/Gray_tree_frog,NA,NA,,
TREE FROG (BOOPHIS),Tree frog ,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,http://eol.org/api/hierarchy_entries/1.0.xml?id=52662668,NA,NA,NA,NA,,
GREAT GRAY TREE FROG,Great gray tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,,,https://en.wikipedia.org/wiki/Gray_tree_frog,NA,NA,,
GRAY TRESS FROG,Gray tress frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,,,https://en.wikipedia.org/wiki/Gray_tree_frog,NA,NA,,
GREAT TREE FROG,Great tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,,,https://en.wikipedia.org/wiki/Gray_tree_frog,NA,NA,,
Barking Tree Frog,Barking tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla gratiosa,NA,NA,https://en.wikipedia.org/wiki/Barking_tree_frog,NA,NA,,
Tree Frog,Tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,http://eol.org/api/hierarchy_entries/1.0.xml?id=52662668,NA,NA,NA,NA,,
BULLFROG,Bullfrog,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,Hylarana daemeli,http://eol.org/api/hierarchy_entries/1.0.xml?id=52659882,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=8400$retmode=xml,NA,NA,NA,,
AUSTRALIAN FROG,Australian frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,Hylarana daemeli,http://eol.org/api/hierarchy_entries/1.0.xml?id=52659882,NA,NA,NA,NA,,
BIG-EYED FROG,Big-eyed frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,Hylarana grandocula,http://eol.org/api/hierarchy_entries/1.0.xml?id=52659897,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=1380829$retmode=xml,NA,NA,NA,,
BIG EYED FROG,Big eyed frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,Hylarana grandocula,http://eol.org/api/hierarchy_entries/1.0.xml?id=52659897,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=1380829$retmode=xml,NA,NA,NA,,
AGILE GIBBON,Agile gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates agilis,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573484,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9579$retmode=xml,https://en.wikipedia.org/wiki/Agile_gibbon,NA,NA,,
BLACK GIBBON ,Black gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates concolor,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573485,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,https://en.wikipedia.org/wiki/Black_gibbon,NA,NA,,
BLACK GIBBON,Black gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates concolor,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573485,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,https://en.wikipedia.org/wiki/Black_gibbon,NA,NA,,
GIBBON ,Gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates concolor,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573485,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,NA,NA,NA,,
GIBBON,Gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates concolor,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573485,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,NA,NA,NA,,
BUFF CHEEKED GIBBON,Buff cheeked gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates gabriellae,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573486,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61852$retmode=xml,NA,NA,NA,,
BUFF-CHEEKED GIBBON,Buff-cheeked gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates gabriellae,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573486,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61852$retmode=xml,NA,NA,NA,,
HOOLOCK GIBBON,Hoolock gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates hoolock,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573487,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61851$retmode=xml,NA,NA,NA,,
SIAMANG,Siamang,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates klossii,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573488,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9590$retmode=xml,https://en.wikipedia.org/wiki/Siamang,NA,NA,,
SIAMANG ,Siamang,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates klossii,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573488,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9590$retmode=xml,https://en.wikipedia.org/wiki/Siamang,NA,NA,,
"SIAMANG ""SPORT""",Siamang ,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates klossii,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573488,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9590$retmode=xml,https://en.wikipedia.org/wiki/Siamang_,NA,NA,,
LAR GIBBON,Lar gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates lar,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573489,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,https://en.wikipedia.org/wiki/Lar_gibbon,NA,NA,,
WHITE-HEADED GIBBON,White-headed gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates lar,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573489,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,NA,NA,NA,,
WHITE HANDED GIBBONB,White handed gibbonb,Metazoa,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates lar,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9580$retmode=xml,NA,NA,NA,,
WHITE-HANDED GIBBON,White-handed gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates lar,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573489,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9580$retmode=xml,https://en.wikipedia.org/wiki/White-handed_gibbon,NA,NA,,
WHITE HANDED GIBBON,White handed gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates lar,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573489,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9580$retmode=xml,https://en.wikipedia.org/wiki/White_handed_gibbon,NA,NA,,
NORTHERN WHITE-CHEEKED GIBBON,Northern white-cheeked gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates leucogenys,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573490,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61853$retmode=xml,https://en.wikipedia.org/wiki/Northern_white-cheeked_gibbon,NA,NA,,
WHITE-CHEEKED GIBBON,White-cheeked gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates leucogenys,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573490,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61853$retmode=xml,NA,NA,NA,,
WHITE CHEEKED GIBBON,White cheeked gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates leucogenys,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573490,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61853$retmode=xml,NA,NA,NA,,
JAVAN GIBBON,Javan gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates moloch,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,https://en.wikipedia.org/wiki/Javan_gibbon,NA,NA,,
MUELLER'S GIBBON,Mueller's gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates muelleri,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573492,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,NA,NA,NA,,
PILEATED GIBBON,Pileated gibbon,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates pileatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52573493,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9589$retmode=xml,https://en.wikipedia.org/wiki/Pileated_gibbon,NA,NA,,
MUELLERS GIBBON,Muellers gibbon,Metazoa,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates sp.,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,NA,NA,NA,,
HYLOBATES LAR GIBBON,Hylobates lar gibbon,Metazoa,Chordata,Mammalia,Primates,Hylobatidae,Hylobates,Hylobates sp.,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=9581$retmode=xml,NA,NA,NA,,
GUINEA FOREST HOG,Guinea forest hog,Animalia,Chordata,Mammalia,Cetartiodactyla,Suidae,Hylochoerus,Hylochoerus meinertzhageni,,,NA,http://www.iucnredlist.org/details/41769/0,NA,,
FOREST GUINEA HOG,Forest guinea hog,Animalia,Chordata,Mammalia,Cetartiodactyla,Suidae,Hylochoerus,Hylochoerus meinertzhageni,,,NA,http://www.iucnredlist.org/details/41769/0,NA,,
LEMUR FROG,Lemur frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hylomantis,Hylomantis lemur,http://eol.org/api/hierarchy_entries/1.0.xml?id=52662088,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=317382$retmode=xml,NA,NA,NA,,
LEMUR LEAF FROG,Lemur leaf frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hylomantis,Hylomantis lemur,http://eol.org/api/hierarchy_entries/1.0.xml?id=52662088,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=317382$retmode=xml,NA,NA,NA,,
HYLOMANTIS LEMUR FROG,Hylomantis lemur frog,Metazoa,Chordata,Amphibia,Anura,Hylidae,Hylomantis,Hylomantis lemur,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=317382$retmode=xml,NA,NA,NA,,
LEMUR TREE FROG,Lemur tree frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Hylomantis,Hylomantis lemur,,,https://en.wikipedia.org/wiki/Hylomantis_lemur,NA,NA,,
FLYING SQUIRRELS ,Flying squirrels,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Hylopetes,Hylopetes winstoni,http://eol.org/api/hierarchy_entries/1.0.xml?id=52571026,NA,NA,NA,NA,,
BLUE DART POISON FROG,Blue dart poison frog,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,Hyloxalus azureiventris,http://eol.org/api/hierarchy_entries/1.0.xml?id=52663247,NA,NA,NA,NA,,
SKY-BLUE POISON FROG,Sky-blue poison frog,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,Hyloxalus azureiventris,http://eol.org/api/hierarchy_entries/1.0.xml?id=52663247,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=507565$retmode=xml,https://en.wikipedia.org/wiki/Sky-blue_poison_frog,NA,NA,,
BLUE DART FROG,Blue dart frog,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,Hyloxalus azureiventris,http://eol.org/api/hierarchy_entries/1.0.xml?id=52663247,NA,NA,NA,NA,,
BLUE POISON DART FROG,Blue poison dart frog,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,Hyloxalus azureiventris,http://eol.org/api/hierarchy_entries/1.0.xml?id=52663247,NA,NA,NA,NA,,
AFRICAN DWARF FROG,African dwarf frog,Animalia,Chordata,Amphibia,Anura,Pipidae,Hymenochirus,Hymenochirus boettgeri,http://eol.org/api/hierarchy_entries/1.0.xml?id=52660197,NA,NA,NA,NA,,
DWARF AFRICAN FROG,Dwarf african frog,Animalia,Chordata,Amphibia,Anura,Pipidae,Hymenochirus,Hymenochirus boettgeri,http://eol.org/api/hierarchy_entries/1.0.xml?id=52660197,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=247094$retmode=xml,NA,NA,NA,,
CONGO DWARF CLAWED FROG,Congo dwarf clawed frog,Animalia,Chordata,Amphibia,Anura,Pipidae,Hymenochirus,Hymenochirus boettgeri,http://eol.org/api/hierarchy_entries/1.0.xml?id=52660197,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=247094$retmode=xml,NA,NA,NA,,
PETERS TWINSPOT,Peters twinspot,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Hypargos,Hypargos niveoguttatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52637422,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=59837$retmode=xml,NA,NA,NA,,
PETER TWINSPOT,Peter twinspot,Animalia,Na,Aves,Passeriformes,Estrildidae,Hypargos,Hypargos niveoguttatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=55923328,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=59837$retmode=xml,NA,NA,NA,,
PETER'S TWINSPOT,Peter's twinspot,Animalia,Na,Aves,Passeriformes,Estrildidae,Hypargos,Hypargos niveoguttatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=55923328,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=59837$retmode=xml,NA,NA,NA,,
HYPARGOS NIVEOGUTTATUS,Hypargos niveoguttatus,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Hypargos,Hypargos niveoguttatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52637422,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=187433$retmode=xml,https://en.wikipedia.org/wiki/Hypargos_niveoguttatus,NA,NA,,
PETERS TWIN-S[POT,Peters twin-s[pot,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Hypargos,Hypargos niveoguttatus,,,NA,NA,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=924548,,
NORTHERN HOGSUCKER,Northern hogsucker,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Hypentelium,Hypentelium nigricans,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=61316$retmode=xml,https://en.wikipedia.org/wiki/Northern_hogsucker,NA,NA,,
ORIOLE WARBLER,Oriole warbler,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Hypergerus,Hypergerus atriceps,http://eol.org/api/hierarchy_entries/1.0.xml?id=52639360,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=98129$retmode=xml,https://en.wikipedia.org/wiki/Oriole_warbler,NA,NA,,
SHARP NOSED TREE FROG,Sharp nosed tree frog,Metazoa,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius,Hyperolius acuticeps,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=247145$retmode=xml,NA,NA,NA,,
YELLOW SPOTTED REED FROG,Yellow spotted reed frog,Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius,Hyperolius argus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52661546,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=39589$retmode=xml,NA,NA,NA,,
SPOTTED REED FROG,Spotted reed frog,Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius,Hyperolius argus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52661546,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=39590$retmode=xml,NA,NA,NA,,
GOLDEN EYED TREE FROG,Golden eyed tree frog,Metazoa,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius,Hyperolius ocellatus,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=191618$retmode=xml,NA,NA,NA,,
GOLDEN EYED FROG,Golden eyed frog,Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius,Hyperolius ocellatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52661608,NA,NA,NA,NA,,
GOLDEN-EYED TREE FROG,Golden-eyed tree frog,Metazoa,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius,Hyperolius ocellatus,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=191618$retmode=xml,NA,NA,NA,,
AFRICAN REED FROG,African reed frog,Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius,Hyperolius substriatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52661666,NA,NA,NA,NA,,
WALLEYE SURFPERCH,Walleye surfperch,Metazoa,Chordata,Actinopteri,Na,Embiotocidae,Hyperprosopon,Hyperprosopon argenteum,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=100192$retmode=xml,NA,NA,NA,,
EMBER TETRA,Ember tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon amandae,http://eol.org/api/hierarchy_entries/1.0.xml?id=52625406,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=1940316$retmode=xml,https://en.wikipedia.org/wiki/Ember_tetra,NA,NA,,
BUENOS AIRES TETRA,Buenos aires tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon anisitsi,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=681894$retmode=xml,https://en.wikipedia.org/wiki/Buenos_aires_tetra,NA,NA,,
SERPAE TETRA,Serpae tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon eques,http://eol.org/api/hierarchy_entries/1.0.xml?id=52625426,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=304017$retmode=xml,https://en.wikipedia.org/wiki/Serpae_tetra,NA,NA,,
RED MINOR TETRA,Red minor tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon eques,,,https://en.wikipedia.org/wiki/Serpae_tetra,NA,NA,,
BLEEDING HEART TETRA,Bleeding heart tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon erythrostigma,http://eol.org/api/hierarchy_entries/1.0.xml?id=52625399,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=272067$retmode=xml,https://en.wikipedia.org/wiki/Bleeding_heart_tetra,NA,NA,,
BLEEDING HEART TETRA ,Bleeding heart tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon erythrostigma,http://eol.org/api/hierarchy_entries/1.0.xml?id=52625399,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=272067$retmode=xml,https://en.wikipedia.org/wiki/Bleeding_heart_tetra,NA,NA,,
BLACK NEON TETRA,Black neon tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon herbertaxelrodi,http://eol.org/api/hierarchy_entries/1.0.xml?id=52625402,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=42492$retmode=xml,https://en.wikipedia.org/wiki/Black_neon_tetra,NA,NA,,
BLACK PHANTOM TETRA,Black phantom tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon megalopterus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52625424,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=272059$retmode=xml,https://en.wikipedia.org/wiki/Black_phantom_tetra,NA,NA,,
LEMON TETRA,Lemon tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon pulchripinnis,NA,NA,https://en.wikipedia.org/wiki/Lemon_tetra,NA,NA,,
Bleeding Heart Tetra,Bleeding heart tetra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon erythrostigma,http://eol.org/api/hierarchy_entries/1.0.xml?id=52625399,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=272067$retmode=xml,https://en.wikipedia.org/wiki/Bleeding_heart_tetra,NA,NA,,
MADAGASCAR GIANT JUMPING RAT,Madagascar giant jumping rat,Metazoa,Chordata,Mammalia,Rodentia,Neosomyidae,Hypogeomys,Hypogeomys antimena,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=10116$retmode=xml,NA,NA,NA,,
SHEEP FROG,Sheep frog,Animalia,Chordata,Amphibia,Anura,Microhylidae,Hypopachus,Hypopachus variolosus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52660745,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=445153$retmode=xml,NA,NA,NA,,
BLUE HAMLET,Blue hamlet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus gemma,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=184434$retmode=xml,https://en.wikipedia.org/wiki/Blue_hamlet,NA,NA,,
INDIGO HAMLET,Indigo hamlet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus indigo,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=222834$retmode=xml,https://en.wikipedia.org/wiki/Indigo_hamlet,NA,NA,,
BLACK HAMLET,Black hamlet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus nigricans,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=146811$retmode=xml,https://en.wikipedia.org/wiki/Black_hamlet,NA,NA,,
BARRED HAMLET,Barred hamlet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus puella,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=146810$retmode=xml,https://en.wikipedia.org/wiki/Barred_hamlet,NA,NA,,
BUTTER HAMLET,Butter hamlet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus unicolor,NA,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=146808$retmode=xml,https://en.wikipedia.org/wiki/Butter_hamlet,NA,NA,,
GARFISH,Garfish,Animalia,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,Hyporhamphus,Hyporhamphus melanochir,http://eol.org/api/hierarchy_entries/1.0.xml?id=52627441,NA,https://en.wikipedia.org/wiki/Garfish,NA,NA,,
ROOSTER ,Rooster,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Hyporthodus,Hyporthodus acanthistius,http://eol.org/api/hierarchy_entries/1.0.xml?id=52594032,NA,NA,NA,NA,,
ROOSTER,Rooster,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Hyporthodus,Hyporthodus acanthistius,http://eol.org/api/hierarchy_entries/1.0.xml?id=52594032,NA,NA,NA,NA,,
SNOWY GROUPER,Snowy grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Hyporthodus,Hyporthodus niveatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52594039,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=160726$retmode=xml,https://en.wikipedia.org/wiki/Snowy_grouper,NA,NA,,
SNOWY GROUPER ,Snowy grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Hyporthodus,Hyporthodus niveatus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52594039,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=Taxonomy&id=160726$retmode=xml,https://en.wikipedia.org/wiki/Snowy_grouper,NA,NA,,
PLECOSTOMUS,Plecostomus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,Hypostomus plecostomus,http://eol.org/api/hierarchy_entries/1.0.xml?id=52608325,NA,NA,NA,NA,,
